¿Dónde está el baño?	卫生间 在 哪里？?
¿Dónde está la peluquería?	哪里 是 理发店？?
¿Dónde está la catedral?	哪里 是 教堂？?
¿Dónde está el zoológico?	動 物 園 在 哪里？?
¿Dónde está la ropa sucia?	脏 衣服 在 哪里？?
¿Dónde está la caja de la farmacia?	哪里 是 药店 的 盒子？?
¿Dónde está el río?	河流 在 哪里？?
¿Dónde está el terminal de autobuses?	哪里 是 汽车 总站？?
¿Dónde está el receptor?	哪里 是 接收器？?
¿Dónde está la exposición?	展览 在 哪里？?
¿Dónde está la clínica dental?	哪里 是 牙科诊所？?
¿Dónde está la comisaría?	哪里 是 警察局？?
¿Dónde está la carnicería?	哪里 是 肉店？?
¿Dónde está la tienda?	商店 在 哪里？?
¿Dónde está la casa comercial?	哪里 是 商业楼？?
¿Dónde está la alcaldía?	市政府 在 哪里？?
¿Dónde está el tribunal?	哪里 是 法院？?
¿Dónde está el bar?	哪里 是 酒吧？?
¿Dónde está la tienda de venta de carteles?	哪里 有 卖 海报 的 商店？?
¿Dónde está el lugar para recoger el equipaje?	请问 行李 领取 处在 哪里？?
¿Dónde está el equipo de inspección de seguridad?	哪里 是 安全检查 小组？?
¿Dónde está la oficina de inmigración?	在 哪里 是 移民局？?
¿Dónde está el roquero?	哪里 是 摇滚乐手？?
¿Dónde está el mostrador de la farmacia?	哪里 是 药店 的 柜台？?
¿Dónde está la ropa?	衣服 在 哪里？?
¿Dónde están las piernas?	腿 在 哪里？?
¿Dónde está la sala de reuniones?	会议室 在 哪里？?
¿Dónde está el camping?	哪里 是 露营地？?
¿Dónde está la spa?	哪里 是 水疗 中心？?
¿Dónde está la oficina?	哪里 是 办公室？?
¿Dónde está el monasterio?	哪里 是 寺庙？?
¿Dónde está la estación de trenes?	火车站 在 哪里？?
¿Dónde está la central de información?	请问 信息中心 在 哪里？?
¿Dónde está el centro de información para turistas?	请问 游客 信息中心 在 哪里？
¿Dónde está el museo de arte?	哪里 是 艺术 博物馆？?
¿Dónde hay una tienda de departamentos?	哪里 有 家 百货商店？?
¿Dónde está el comedor?	餐厅 在 哪里？?
¿Dónde hay una agencia de alquiler de coches?	哪里 有 汽车 租赁 公司？?
¿Dónde está el mostrador de reclamo de equipaje?	请问 行李 申报 柜 在 哪里？?
¿Dónde está el control de seguridad?	哪里 是 安全控制？?
¿Dónde está el locker?	请问 储 Locker 在 哪里？?
¿Dónde está el depósito de equipaje?	请问 行李 存放处 在 哪里？?
¿Dónde está la plataforma de observación?	观测 平台 在 哪里？?
¿Dónde está la lavadora?	洗衣机 在 哪里？?
¿Dónde se llevará a cabo la reunión?	会议 将 在 哪里 举行？?
¿Dónde hay aguas termales?	哪里 有 温泉？?
¿Dónde está la estación de información?	请问 信息 台 在 哪里？?
¿Dónde está su bandeja de entrada?	您 的 收件箱 在 哪里？?
¿Dónde está el alquiler de coches?	哪里 是 租车 处？?
¿Dónde están las maletas?	suitcases 在 哪里？?
¿Dónde está la librería?	书店 在 哪里？?
¿Dónde está el casillero?	请问 邮箱 在 哪里？?
¿Dónde está la estación de inspección de seguridad?	哪里 是 安全检查 站？
¿Dónde están las camisas?	衬衫 在 哪里？?
¿Dónde está el mostrador de equipajes?	请问 行李 柜 在 哪里？?
¿Dónde está la torre de vigilancia?	哪里 是 瞭望 塔？?
¿Dónde está el centro de spa?	哪里 是 水疗 中心？?
